formula,en,Tc,hf,mass,Ref.
CaLu3H24,2.0575,255,0.8571,23.3543,doi.org/10.34133/2022/9784309
CaLuH12,2.0479,238.7,0.8571,17.7784,doi.org/10.1002/pssb.202400240
CaLuH12,2.0479,282,0.8571,17.7784,doi.org/10.34133/2022/9784309
CaLuH12,2.0479,294.2,0.8571,17.7784,doi.org/10.1002/pssb.202400240
CaN2H8,2.2436,51,0.7273,8.4439,doi.org/10.1063/5.0127365
CaN2H8,2.2436,104,0.7273,8.4439,doi.org/10.1063/5.0127365
CaSbH6,2.0313,65,0.75,26.7589,doi.org/10.1016/j.mtphys.2023.101086
CaSbH6,2.0313,19,0.75,26.7589,doi.org/10.1016/j.mtphys.2023.101086
CaSc2H9,1.96,69,0.75,14.3287,doi.org/10.1039/D3CP05086F
CaScH12,2.0543,245.3,0.8571,7.0299,doi.org/10.1002/pssb.202400240
CaScH12,2.0543,173,0.8571,7.0299,doi.org/10.1039/D3CP05086F
CaScH6,1.945,60,0.75,14.0599,doi.org/10.1039/D3CP05086F
CaSH3,2.036,101,0.6,23.8552,doi.org/10.1021/acs.jpclett.0c02299
CaSH3,2.036,91,0.6,23.8552,doi.org/10.1021/acs.jpclett.0c02299
CaSH3,2.036,54,0.6,23.8552,doi.org/10.1021/acs.jpclett.0c02299
CaSH3,2.036,46,0.6,23.8552,doi.org/10.1021/acs.jpclett.0c02299
CaSH3,2.036,42,0.6,23.8552,doi.org/10.1021/acs.jpclett.0c02299
CaSnH6,2.02,53,0.75,26.2546,doi.org/10.1016/j.mtphys.2023.101086
CaSnH6,2.02,25,0.75,26.2546,doi.org/10.1016/j.mtphys.2023.101086
CaU3H32,2.0983,50.1,0.8889,23.3807,doi.org/10.1088/1361-648X/ad1ca7
CaUH12,2.0557,58.6,0.8571,22.9917,doi.org/10.1088/1361-648X/ad1ca7
CaUH12,2.0557,31.4,0.8571,22.9917,doi.org/10.1088/1361-648X/ad1ca7
CaYb2H18,2.0343,138,0.8571,21.2841,doi.org/10.34133/2022/9784309
CaYb3H24,2.035,151,0.8571,23.1162,doi.org/10.34133/2022/9784309
CaYbH12,2.0329,176.5,0.8571,17.6197,doi.org/10.1002/pssb.202400240
CaYbH12,2.0329,176,0.8571,17.6197,doi.org/10.34133/2022/9784309
CaYbH12,2.0329,153,0.8571,17.6197,doi.org/10.34133/2022/9784309
CaYbH12,2.0329,218,0.8571,17.6197,doi.org/10.1002/pssb.202400240
CaYH12,2.0443,281.1,0.8571,10.6634,doi.org/10.1002/pssb.202400240
CaYH12,2.0329,209,0.8571,17.6197,doi.org/10.1103/PhysRevB.99.100505
CaYH12,2.0329,258,0.8571,17.6197,doi.org/10.1103/PhysRevB.99.100505
CaYH12,2.0329,215,0.8571,17.6197,doi.org/10.1103/PhysRevB.99.100505
CaYH12,2.0329,202,0.8571,17.6197,doi.org/10.1103/PhysRevB.99.100505
CaZrH12,2.0521,296,0.8571,10.855,doi.org/10.1103/PhysRevB.107.L020504
CaZrH12,2.0521,343,0.8571,10.855,doi.org/10.1103/PhysRevB.107.L020504
CaZrH18,2.0965,329,0.9,7.2367,doi.org/10.1103/PhysRevB.107.L020504
CdN2H8,2.3064,0.2,0.7273,17.4137,doi.org/10.1063/5.0127365
CdN2H8,2.3064,9,0.7273,17.4137,doi.org/10.1063/5.0127365
Ce2BH14,2.0635,64,0.8235,20.6243,doi.org/10.1039/D4TC02905D
Ce2BH16,2.0779,20,0.8421,18.0463,doi.org/10.1039/D4TC02905D
Ce2BH16,2.0779,27,0.8421,18.0463,doi.org/10.1039/D4TC02905D
CeBeH8,2.029,57,0.8,18.4936,doi.org/10.1088/1361-648X/ac9bbc
CeBeH8,2.029,31,0.8,18.4936,doi.org/10.1016/j.fmre.2022.11.010
CeBeH8,2.029,36,0.8,18.4936,doi.org/10.1088/1361-648X/ac9bbc
CeBeH8,2.029,30,0.8,18.4936,doi.org/10.1088/1361-648X/ac9bbc
CeBeH8,2.029,27,0.8,18.4936,doi.org/10.1088/1361-648X/ac9bbc
CeBeH8,2.029,198,0.8,18.4936,doi.org/10.1016/j.fmre.2022.11.010
CeBeH8,2.029,201,0.8,18.4936,doi.org/10.1088/1361-648X/ac9bba
CeBeH8,2.029,12,0.8,18.4936,doi.org/10.1088/1361-648X/ac9bbc
CeBeH8,2.029,6,0.8,18.4936,doi.org/10.1016/j.fmre.2022.11.010
CeBH6,2.045,1,0.75,24.9554,doi.org/10.1039/D4TC02905D
CeBH7,2.0622,18,0.7778,21.3903,doi.org/10.1103/PhysRevB.110.064105
