formula,en,Tc,hf,mass,Ref.
YBeH8,2.039,200,0.8,12.1426,doi.org/10.1063/5.0195828
YBeH8,2.039,249,0.8,12.1426,doi.org/10.1103/PhysRevLett.128.047001
YBeH8,2.039,200,0.8,12.1426,doi.org/10.1063/5.0195828
YBeH8,2.039,200,0.8,12.1426,doi.org/10.1063/5.0195828
YBeH8,2.039,40,0.8,12.1426,doi.org/10.1063/5.0195828
YBeH8,2.039,199,0.8,12.1426,doi.org/10.1063/5.0195828
YBeH8,2.039,198,0.8,12.1426,doi.org/10.1063/5.0195828
YBeH8,2.039,70,0.8,12.1426,doi.org/10.1063/5.0195828
YbLu2H18,2.0571,212,0.8571,28.8244,doi.org/10.34133/2022/9784309
YbLu3H24,2.0596,222,0.8571,28.8509,doi.org/10.34133/2022/9784309
YbLuH12,2.0521,198,0.8571,28.7715,doi.org/10.34133/2022/9784309
YbTmH12,2.0507,48,0.8571,28.2722,doi.org/10.1038/s41598-024-61400-z
YC2H8,2.1745,58.1,0.7273,14.004,doi.org/10.1016/j.mtphys.2024.101443
YC2H8,2.1745,61,0.7273,14.004,doi.org/10.1002/anie.202207589
YC2H8,2.1745,72.2,0.7273,14.004,doi.org/10.1016/j.mtphys.2024.101443
YC2H8,2.1745,53.4,0.7273,14.004,doi.org/10.1016/j.mtphys.2024.101443
YC2H8,2.1745,39.6,0.7273,14.004,doi.org/10.1016/j.mtphys.2024.101443
YCa2H18,2.039,190,0.8571,9.3178,doi.org/10.1103/PhysRevB.106.014521
YCa3H24,2.0364,190,0.8571,8.645,doi.org/10.1103/PhysRevB.106.014521
YCaH12,2.0443,229.9,0.8571,10.6634,doi.org/10.1088/1361-648X/ab09b4
YCaH12,2.0443,222,0.8571,10.6634,doi.org/10.1088/1361-648X/ab09b4
YCaH12,2.0443,210.8,0.8571,10.6634,doi.org/10.1088/1361-648X/ab09b4
YCaH20,2.1009,240,0.9091,6.398,doi.org/10.1103/PhysRevB.106.014521
YCeH12,2.0529,161.1,0.8571,18.9337,doi.org/10.1016/j.mtphys.2023.101233
YCeH12,2.0529,151.2,0.8571,18.9337,doi.org/10.1016/j.mtphys.2023.101233
YCeH12,2.0529,144.9,0.8571,18.9337,doi.org/10.1016/j.mtphys.2023.101233
YCeH18,2.097,173.8,0.9,12.6227,doi.org/10.1016/j.mtphys.2022.100873
YCeH18,2.097,110,0.9,12.6227,doi.org/10.1016/j.mtphys.2022.100873
YCeH20,2.1064,122.1,0.9091,11.3604,doi.org/10.1016/j.mtphys.2022.100873
YCeH8,1.994,4.8,0.8,28.401,doi.org/10.1016/j.mtphys.2022.100873
YCH12,2.155,112,0.8571,8.343,doi.org/10.1039/D2TC04029H
YHfH12,2.0657,219.4,0.8571,22.1062,doi.org/10.1016/j.mtphys.2023.101233
YHfH18,2.106,130,0.9,14.7374,doi.org/10.1038/s41598-024-68697-w
YHfH6,1.965,3,0.75,44.2123,doi.org/10.1038/s41598-024-68697-w
YHfH7,1.9911,3,0.7778,37.8963,doi.org/10.1038/s41598-024-68697-w
YHfH8,2.012,47,0.8,33.1592,doi.org/10.1038/s41598-024-68697-w
YLu2H18,2.0648,242,0.8571,24.1868,doi.org/10.34133/2022/9784309
YLu3H24,2.0654,288,0.8571,25.3727,doi.org/10.34133/2022/9784309
YLuH12,2.0636,275,0.8571,21.8151,doi.org/10.34133/2022/9784309
YLuH12,2.0636,246.9,0.8571,21.8151,doi.org/10.1002/pssb.202400240
YMgH12,2.0664,190,0.8571,9.3594,doi.org/10.1002/adts.202100364
YMgH12,2.0664,153,0.8571,9.3594,doi.org/10.1002/adts.202100364
YMgH2,1.7325,2,0.5,56.1563,doi.org/10.1002/adts.202100364
YMgH3,1.826,0,0.6,37.4375,doi.org/10.1002/adts.202100364
YMgH5,1.9329,0,0.7143,22.4625,doi.org/10.1002/adts.202100364
YMgH5,1.9329,6,0.7143,22.4625,doi.org/10.1002/adts.202100364
YMgH6,1.9663,31,0.75,18.7188,doi.org/10.1002/adts.202100364
YMgH6,1.9663,75,0.75,18.7188,doi.org/10.1002/adts.202100364
YMgH8,2.013,125,0.8,14.0391,doi.org/10.1002/adts.202100364
YPrH18,2.0975,41,0.9,12.6661,doi.org/10.1021/acs.jpcc.3c02968
YPrH18,2.0975,29,0.9,12.6661,doi.org/10.1021/acs.jpcc.3c02968
YPrH18,2.0975,46,0.9,12.6661,doi.org/10.1021/acs.jpcc.3c02968
YPrH18,2.0975,46,0.9,12.6661,doi.org/10.1021/acs.jpcc.3c02968
YPrH8,1.995,0,0.8,28.4988,doi.org/10.1021/acs.jpcc.3c02968
YPrH8,1.995,0,0.8,28.4988,doi.org/10.1021/acs.jpcc.3c02968
YScH10,2.0483,116,0.8333,13.28,doi.org/10.1103/PhysRevB.109.054512
YScH12,2.07,179,0.8571,11.0666,doi.org/10.1103/PhysRevB.109.054512
YScH6,1.9725,66.5,0.75,22.1333,doi.org/10.1103/PhysRevB.109.054512
YScH8,2.018,110.2,0.8,16.6,doi.org/10.1103/PhysRevB.109.054512
YSH,2,0,0.3333,120.006,doi.org/10.1021/acsomega.9b02094
YSH2,2.05,0.01,0.5,60.003,doi.org/10.1021/acsomega.9b02094
YSH5,2.1143,0.7,0.7143,24.0012,doi.org/10.1021/acsomega.9b02094
YSH6,2.125,91,0.75,20.001,doi.org/10.1103/PhysRevB.100.184502
YSH6,2.125,61,0.75,20.001,doi.org/10.1103/PhysRevB.100.184502
YTh2H18,2.0291,211,0.8182,35.3776,doi.org/10.1103/PhysRevB.109.224505
YThH12,2.0657,208,0.8571,26.5332,doi.org/10.1103/PhysRevB.109.224505
YThH12,2.0657,230.2,0.8571,26.5331,doi.org/10.1016/j.mtphys.2023.101233
YThH12,2.0657,215.3,0.8571,26.5331,doi.org/10.1016/j.mtphys.2023.101233
YThH18,2.106,222,0.9,17.6888,doi.org/10.1021/acsomega.4c07199
YThH8,2.012,17,0.8,39.7999,doi.org/10.1021/acsomega.4c07199
YThH8,2.012,6,0.8,39.7999,doi.org/10.1021/acsomega.4c07199
YTmH12,2.0621,46,0.8571,21.3158,doi.org/10.1038/s41598-024-61400-z
YYb2H18,2.0448,172,0.8571,23.9752,doi.org/10.34133/2022/9784309
YYb3H24,2.0429,148,0.8571,25.1346,doi.org/10.34133/2022/9784309
YYbH12,2.0486,178,0.8571,21.6564,doi.org/10.34133/2022/9784309
YYbH12,2.0486,222.8,0.8571,21.6564,doi.org/10.1002/pssb.202400240
YZr2H18,2.0705,136.68,0.8571,14.9556,doi.org/10.1039/D2CP05850B
YZr3H16,2.0205,38.59,0.8,22.4813,doi.org/10.1039/D2CP05850B
YZr3H24,2.0718,130.52,0.8571,14.9875,doi.org/10.1039/D2CP05850B
YZr3H24,2.0718,129.81,0.8571,14.9875,doi.org/10.1039/D2CP05850B
YZr3H24,2.0718,127.57,0.8571,14.9875,doi.org/10.1039/D2CP05850B
YZrH12,2.0679,182.67,0.8571,14.8917,doi.org/10.1039/D2CP05850B
YZrH12,2.0679,174.56,0.8571,14.8917,doi.org/10.1039/D2CP05850B
YZrH12,2.0679,162.93,0.8571,14.8917,doi.org/10.1039/D2CP05850B
YZrH18,2.1075,156.23,0.9,9.9278,doi.org/10.1039/D2CP05850B
YZrH6,1.9688,16.3,0.75,29.7834,doi.org/10.1039/D2CP05850B
YZrH8,2.015,69.88,0.8,22.3375,doi.org/10.1039/D2CP05850B
ZnN2H8,2.3027,0.326,0.7273,11.5816,doi.org/10.1063/5.0127365
ZnN2H8,2.3027,37.89,0.7273,11.5816,doi.org/10.1063/5.0127365
Zr2HfH8,1.96,25.1,0.7273,44.7592,doi.org/10.1002/adfm.202404043
Zr3NH3,1.9471,13,0.4286,95.1319,doi.org/10.1103/PhysRevLett.132.166001
